"id","name","state_id:id"
"res_country_state_county_1001","Autauga","base.state_us_1"
"res_country_state_county_1003","Baldwin","base.state_us_1"
"res_country_state_county_1005","Barbour","base.state_us_1"
"res_country_state_county_1007","Bibb","base.state_us_1"
"res_country_state_county_1009","Blount","base.state_us_1"
"res_country_state_county_1011","Bullock","base.state_us_1"
"res_country_state_county_1013","Butler","base.state_us_1"
"res_country_state_county_1015","Calhoun","base.state_us_1"
"res_country_state_county_1017","Chambers","base.state_us_1"
"res_country_state_county_1019","Cherokee","base.state_us_1"
"res_country_state_county_1021","Chilton","base.state_us_1"
"res_country_state_county_1023","Choctaw","base.state_us_1"
"res_country_state_county_1025","Clarke","base.state_us_1"
"res_country_state_county_1027","Clay","base.state_us_1"
"res_country_state_county_1029","Cleburne","base.state_us_1"
"res_country_state_county_1031","Coffee","base.state_us_1"
"res_country_state_county_1033","Colbert","base.state_us_1"
"res_country_state_county_1035","Conecuh","base.state_us_1"
"res_country_state_county_1037","Coosa","base.state_us_1"
"res_country_state_county_1039","Covington","base.state_us_1"
"res_country_state_county_1041","Crenshaw","base.state_us_1"
"res_country_state_county_1043","Cullman","base.state_us_1"
"res_country_state_county_1045","Dale","base.state_us_1"
"res_country_state_county_1047","Dallas","base.state_us_1"
"res_country_state_county_1049","DeKalb","base.state_us_1"
"res_country_state_county_1051","Elmore","base.state_us_1"
"res_country_state_county_1053","Escambia","base.state_us_1"
"res_country_state_county_1055","Etowah","base.state_us_1"
"res_country_state_county_1057","Fayette","base.state_us_1"
"res_country_state_county_1059","Franklin","base.state_us_1"
"res_country_state_county_1061","Geneva","base.state_us_1"
"res_country_state_county_1063","Greene","base.state_us_1"
"res_country_state_county_1065","Hale","base.state_us_1"
"res_country_state_county_1067","Henry","base.state_us_1"
"res_country_state_county_1069","Houston","base.state_us_1"
"res_country_state_county_1071","Jackson","base.state_us_1"
"res_country_state_county_1073","Jefferson","base.state_us_1"
"res_country_state_county_1075","Lamar","base.state_us_1"
"res_country_state_county_1077","Lauderdale","base.state_us_1"
"res_country_state_county_1079","Lawrence","base.state_us_1"
"res_country_state_county_1081","Lee","base.state_us_1"
"res_country_state_county_1083","Limestone","base.state_us_1"
"res_country_state_county_1085","Lowndes","base.state_us_1"
"res_country_state_county_1087","Macon","base.state_us_1"
"res_country_state_county_1089","Madison","base.state_us_1"
"res_country_state_county_1091","Marengo","base.state_us_1"
"res_country_state_county_1093","Marion","base.state_us_1"
"res_country_state_county_1095","Marshall","base.state_us_1"
"res_country_state_county_1097","Mobile","base.state_us_1"
"res_country_state_county_1099","Monroe","base.state_us_1"
"res_country_state_county_1101","Montgomery","base.state_us_1"
"res_country_state_county_1103","Morgan","base.state_us_1"
"res_country_state_county_1105","Perry","base.state_us_1"
"res_country_state_county_1107","Pickens","base.state_us_1"
"res_country_state_county_1109","Pike","base.state_us_1"
"res_country_state_county_1111","Randolph","base.state_us_1"
"res_country_state_county_1113","Russell","base.state_us_1"
"res_country_state_county_1115","St. Clair","base.state_us_1"
"res_country_state_county_1117","Shelby","base.state_us_1"
"res_country_state_county_1119","Sumter","base.state_us_1"
"res_country_state_county_1121","Talladega","base.state_us_1"
"res_country_state_county_1123","Tallapoosa","base.state_us_1"
"res_country_state_county_1125","Tuscaloosa","base.state_us_1"
"res_country_state_county_1127","Walker","base.state_us_1"
"res_country_state_county_1129","Washington","base.state_us_1"
"res_country_state_county_1131","Wilcox","base.state_us_1"
"res_country_state_county_1133","Winston","base.state_us_1"
"res_country_state_county_2013","Aleutians East","base.state_us_2"
"res_country_state_county_2016","Aleutians West","base.state_us_2"
"res_country_state_county_2020","Anchorage","base.state_us_2"
"res_country_state_county_2050","Bethel","base.state_us_2"
"res_country_state_county_2060","Bristol Bay","base.state_us_2"
"res_country_state_county_2068","Denali","base.state_us_2"
"res_country_state_county_2070","Dillingham","base.state_us_2"
"res_country_state_county_2090","Fairbanks North Star","base.state_us_2"
"res_country_state_county_2100","Haines","base.state_us_2"
"res_country_state_county_2105","Hoonah-Angoon","base.state_us_2"
"res_country_state_county_2110","Juneau","base.state_us_2"
"res_country_state_county_2122","Kenai Peninsula","base.state_us_2"
"res_country_state_county_2130","Ketchikan Gateway","base.state_us_2"
"res_country_state_county_2150","Kodiak Island","base.state_us_2"
"res_country_state_county_2164","Lake and Peninsula","base.state_us_2"
"res_country_state_county_2170","Matanuska-Susitna","base.state_us_2"
"res_country_state_county_2180","Nome","base.state_us_2"
"res_country_state_county_2185","North Slope","base.state_us_2"
"res_country_state_county_2188","Northwest Arctic","base.state_us_2"
"res_country_state_county_2195","Petersburg","base.state_us_2"
"res_country_state_county_2198","Prince of Wales-Hyder","base.state_us_2"
"res_country_state_county_2220","Sitka","base.state_us_2"
"res_country_state_county_2230","Skagway","base.state_us_2"
"res_country_state_county_2240","Southeast Fairbanks","base.state_us_2"
"res_country_state_county_2261","Valdez-Cordova","base.state_us_2"
"res_country_state_county_2270","Wade Hampton","base.state_us_2"
"res_country_state_county_2275","Wrangell","base.state_us_2"
"res_country_state_county_2282","Yakutat","base.state_us_2"
"res_country_state_county_2290","Yukon-Koyukuk","base.state_us_2"
"res_country_state_county_4001","Apache","base.state_us_3"
"res_country_state_county_4003","Cochise","base.state_us_3"
"res_country_state_county_4005","Coconino","base.state_us_3"
"res_country_state_county_4007","Gila","base.state_us_3"
"res_country_state_county_4009","Graham","base.state_us_3"
"res_country_state_county_4011","Greenlee","base.state_us_3"
"res_country_state_county_4012","La Paz","base.state_us_3"
"res_country_state_county_4013","Maricopa","base.state_us_3"
"res_country_state_county_4015","Mohave","base.state_us_3"
"res_country_state_county_4017","Navajo","base.state_us_3"
"res_country_state_county_4019","Pima","base.state_us_3"
"res_country_state_county_4021","Pinal","base.state_us_3"
"res_country_state_county_4023","Santa Cruz","base.state_us_3"
"res_country_state_county_4025","Yavapai","base.state_us_3"
"res_country_state_county_4027","Yuma","base.state_us_3"
"res_country_state_county_5001","Arkansas","base.state_us_4"
"res_country_state_county_5003","Ashley","base.state_us_4"
"res_country_state_county_5005","Baxter","base.state_us_4"
"res_country_state_county_5007","Benton","base.state_us_4"
"res_country_state_county_5009","Boone","base.state_us_4"
"res_country_state_county_5011","Bradley","base.state_us_4"
"res_country_state_county_5013","Calhoun","base.state_us_4"
"res_country_state_county_5015","Carroll","base.state_us_4"
"res_country_state_county_5017","Chicot","base.state_us_4"
"res_country_state_county_5019","Clark","base.state_us_4"
"res_country_state_county_5021","Clay","base.state_us_4"
"res_country_state_county_5023","Cleburne","base.state_us_4"
"res_country_state_county_5025","Cleveland","base.state_us_4"
"res_country_state_county_5027","Columbia","base.state_us_4"
"res_country_state_county_5029","Conway","base.state_us_4"
"res_country_state_county_5031","Craighead","base.state_us_4"
"res_country_state_county_5033","Crawford","base.state_us_4"
"res_country_state_county_5035","Crittenden","base.state_us_4"
"res_country_state_county_5037","Cross","base.state_us_4"
"res_country_state_county_5039","Dallas","base.state_us_4"
"res_country_state_county_5041","Desha","base.state_us_4"
"res_country_state_county_5043","Drew","base.state_us_4"
"res_country_state_county_5045","Faulkner","base.state_us_4"
"res_country_state_county_5047","Franklin","base.state_us_4"
"res_country_state_county_5049","Fulton","base.state_us_4"
"res_country_state_county_5051","Garland","base.state_us_4"
"res_country_state_county_5053","Grant","base.state_us_4"
"res_country_state_county_5055","Greene","base.state_us_4"
"res_country_state_county_5057","Hempstead","base.state_us_4"
"res_country_state_county_5059","Hot Spring","base.state_us_4"
"res_country_state_county_5061","Howard","base.state_us_4"
"res_country_state_county_5063","Independence","base.state_us_4"
"res_country_state_county_5065","Izard","base.state_us_4"
